lat;lon;elemnt;id;official_name;ref:CIS_JR
49.0612865;15.2674912;node;1153207413;Český Rudolec,Matějovec;4999
49.0547844;15.3094021;node;1324196570;Český Rudolec,Peníkov;5002
49.0445011;15.3040801;node;1347747860;Český Rudolec,Stoječín,rozc.0.1;5003
49.0276639;15.3357741;node;1619329851;Slavonice,Vlastkovec;32053
49.0166823;15.3418853;node;1619329855;Slavonice,Vlastkovec,rozc.2.0;32054
49.4006729;13.9046059;node;10689847271;Blatná,Hněvkov;1518
49.4010162;13.9051905;node;10689847277;Blatná,Hněvkov;1518
49.2554515;13.9166766;node;7880597517;Strakonice,,aut.nádr.;33240
49.2555063;13.9166584;node;7880597518;Strakonice,,aut.nádr.;33240
49.2555600;13.9166353;node;7880597519;Strakonice,,aut.nádr.;33240
49.2556160;13.9166125;node;7880597520;Strakonice,,aut.nádr.;33240
49.2556700;13.9165880;node;7880597521;Strakonice,,aut.nádr.;33240
49.2557277;13.9165648;node;7880597522;Strakonice,,aut.nádr.;33240
49.2557816;13.9165411;node;7880597523;Strakonice,,aut.nádr.;33240
49.2558358;13.9165189;node;7880597524;Strakonice,,aut.nádr.;33240
49.2558915;13.9164951;node;7880597525;Strakonice,,aut.nádr.;33240
49.2559461;13.9164724;node;7880597526;Strakonice,,aut.nádr.;33240
49.2563348;13.9163255;node;8446473550;Strakonice,,aut.nádr.;
49.1727834;15.0281825;node;192859888;Horní Skrýchov;9925
49.1726987;15.0281234;node;8842335955;Horní Skrýchov;9925
49.1619580;15.0142409;node;775992813;Jindřichův Hradec,Dolní Skrýchov;13447
49.1540594;15.0051913;node;10687627248;Jindřichův Hradec,,aut.nádr.;13402
49.1385980;15.0089672;node;3248441994;Jindřichův Hradec,,kasárna;
49.1381372;15.0092970;node;2704092984;Jindřichův Hradec,,kasárna;
49.1312451;15.0181933;node;3248441982;Jindřichův Hradec,,hřbitov;
49.1311902;15.0179925;node;9174048192;Jindřichův Hradec,,hřbitov;
49.1259294;15.0245612;node;3248441980;Jindřichův Hradec,,Fruko;
49.1037562;15.0432207;node;2704078376;Horní Pěna;
49.1036172;15.0432121;node;9014809378;Horní Pěna;
49.1105167;15.0217240;node;9014809374;Dolní Pěna;
49.1126368;14.9983434;node;9014809375;Jindřichův Hradec,Horní Žďár,rozc.;
49.1124764;14.9985504;node;9014809376;Jindřichův Hradec,Horní Žďár,rozc.;
49.1123679;14.9961150;node;1446631721;Jindřichův Hradec,Horní Žďár,host.;
49.2512508;13.9125276;node;3970804412;Strakonice,,Volyňská;33284
49.2514135;13.9128939;node;3970804413;Strakonice,,Volyňská;33284
49.2530070;13.9053655;node;9393616922;Strakonice,,Prácheňská;
49.2314367;13.9146502;node;10738197561;Radošovice,,rozc.0.5;29332
49.2316988;13.9149229;node;10738197560;Radošovice,,rozc.0.5;29332
49.2187249;13.8949825;node;10738197559;Přední Zborovice;28574
49.2183421;13.8945092;node;10738197558;Přední Zborovice;28574
49.2096585;13.8880434;node;9595850496;Strunkovice n.Vol.;
49.2068040;13.8874248;node;9595886828;Strunkovice n.Vol.;
49.1988531;13.8857464;node;10736739684;Strunkovice n.Vol.,,rozc.Němětice 0.5;
49.1985985;13.8856418;node;10736739685;Strunkovice n.Vol.,,rozc.Němětice 0.5;
49.2008658;15.0034122;node;5422871021;Jindřichův Hradec,Dolní Radouň,škola;13445
49.2193616;15.0142822;node;2529313739;Kostelní Radouň;
49.2194182;15.0141953;node;9296842430;Kostelní Radouň;
49.2230576;15.0105610;node;9296842428;Kostelní Radouň,,ObÚ;
49.2231005;15.0106498;node;9296842429;Kostelní Radouň,,ObÚ;
49.0739532;14.9697635;node;9822427719;Lásenice;
49.0740011;14.9702281;node;1446631626;Lásenice;
49.0699027;14.9965970;node;4297850413;Lásenice,,Novoveský dvůr;17503
49.0699132;15.0486302;node;5615054027;Číměř,Bílá;5207
49.0773148;15.0579148;node;2147595169;Číměř,Bílá,rozc.1.0;5208
49.0767904;15.0579924;node;2147594996;Číměř,Bílá,rozc.1.0;5208
49.1193776;15.0011737;node;1446631731;Jindřichův Hradec,Horní Žďár,pískovna;
49.1193761;15.0014099;node;9174048126;Jindřichův Hradec,Horní Žďár,pískovna;
49.1006477;14.9918677;node;1446631712;Dolní Žďár;6799
49.0909556;14.9855099;node;1446631623;Dolní Žďár,Horní Lhota,rozc.0.2;6800
49.0144332;14.6216015;node;8290353469;Lišov,,hřbitov;18890
49.1591225;14.9560032;node;10687627249;Jindřichův Hradec,Děbolín;13443
49.1592636;14.9558744;node;10687627251;Jindřichův Hradec,Děbolín;13443
49.1637830;13.7792084;node;833185912;Dřešín,,rozc.0.2;
49.1631714;13.7234173;node;10705806670;Drážov,Zálesí,škola;
49.1630187;13.7232375;node;10705806671;Drážov,Zálesí,škola;
49.1558255;13.7528852;node;6739144690;Drážov,Dobrš;
49.1435193;13.8098842;node;6739144600;Čestice,Krušlov;
49.1434337;13.8099282;node;10736739679;Čestice,Krušlov;
49.1668664;13.8771718;node;10738197555;Volyně,,Hradčany;40090
49.1668011;13.8770637;node;10738197556;Volyně,,Hradčany;40090
49.1682811;13.8862504;node;10738197553;Volyně,,MŠ;40091
49.1682895;13.8860740;node;10738197554;Volyně,,MŠ;40091
49.1662173;13.8853735;node;5294487202;Volyně,,nám.;40092
49.1657299;13.8861233;node;1223294623;Volyně,,nám.;40092
49.1306496;13.8622430;node;3216442974;Malenice,Zlešice,U Kožených;20219
49.1305398;13.8624403;node;3216442973;Malenice,Zlešice,U Kožených;20219
49.1365356;13.9923790;node;6732453666;Čepřovice,Koječín;
49.1366241;13.9924622;node;6732453667;Čepřovice,Koječín;
49.1299376;14.0094592;node;4188120054;Dub,Javornice,rozc.1.0;7265
49.1323415;14.0347563;node;9010698208;Krajníčko,Štětín;
49.1215327;14.0788776;node;2417685095;1;598
49.1827698;13.9939763;node;6710378454;Skály;
49.1833470;13.9929570;node;6710378464;Skály;
49.1996044;13.9939360;node;6707903476;Paračov;
49.1995712;13.9941119;node;10736739681;Paračov;
48.9966981;14.4486332;node;3401985176;České Budějovice,,U Hvízdala;56564
48.9512324;14.4540222;node;3403844307;Planá,,letiště;26719
48.9424222;14.4496123;node;7399443176;Planá;26718
48.9419112;14.4483026;node;3403844314;Planá;26718
48.9390460;14.4296274;node;3403844319;Homole;9309
48.9391822;14.4292310;node;3403844318;Homole;9309
