lat;lon;official_name;name;ref:CIS_JR;ref;bus;public_transport;count;id;local_ref
49.0495344;14.1962749;;"""Netolice, nám.""";;2;yes;platform;;10691369671;2;10;10;10;10
49.0496139;14.1960584;;"""Netolice, nám.""";;3;yes;platform;;10691369670;3;10;10;10;10
49.4880471;14.3229985;;"""Milevsko, Dmýštice""";;;yes;platform;;3931905869;B;10;10;10;10
49.4879418;14.3228521;;"""Milevsko, Dmýštice""";;;yes;platform;;10689846347;A;10;10;10;10
49.4723473;14.3446426;;"""Milevsko, Něžovice, Spálená""";;;yes;platform;;10689846330;A;10;10;10;10
49.4724846;14.3447962;;"""Milevsko, Něžovice, Spálená""";;;yes;platform;;10689846333;B;10;10;10;10
49.4613686;14.3308802;;"""Hrejkovice, Chlumek, rybník Zlatina""";;;yes;platform;;10689846328;A;10;10
49.4617004;14.3305912;;"""Hrejkovice, Chlumek, rybník Zlatina""";;;yes;platform;;10689846329;B;10;10
49.4684486;14.3071289;"""Hrejkovice, Chlumek, rozc. 0.8""";"""Hrejkovice, Chlumek, rozcestí 0.8""";;;yes;platform;;10689846326;A;10;10
49.4686966;14.3066874;"""Hrejkovice, Chlumek, rozc. 0.8""";"""Hrejkovice, Chlumek, rozcestí 0.8""";;;yes;platform;;10689846327;B;10;10
49.4708176;14.3008156;;"""Hrejkovice, Chlumek, samoty""";;;yes;platform;;10689846323;A;10;10;10;10
49.4710121;14.3007278;;"""Hrejkovice, Chlumek, samoty""";;;yes;platform;;10689846324;B;10;10;10;10
49.5386047;14.0418177;;"""Mirovice, Boješice""";;;yes;platform;;10689846362;A;10;10;10;10
49.5386810;14.0419397;;"""Mirovice, Boješice""";;;yes;platform;;10689846364;B;10;10;10;10
49.5457115;14.0494814;"""Mirovice, Ohař, rozc. 1.0""";"""Mirovice, Ohař, rozcestí 1.0""";;;yes;platform;;10689846363;A;10;10;10;10
49.5458031;14.0497475;"""Mirovice, Ohař, rozc. 1.0""";"""Mirovice, Ohař, rozcestí 1.0""";;;yes;platform;;10689846365;B;10;10;10;10
49.5156059;14.0192652;;"""Mirovice, Plíškovice""";;;yes;platform;;10201836188;A;10;10;10;10
49.5155907;14.0194550;;"""Mirovice, Plíškovice""";;;yes;platform;;10689846368;B;10;10;10;10
49.5235940;14.0032510;"""Mirovice, Ráztely, rozc. 2.0""";"""Mirovice, Ráztely, rozcestí 2.0""";;;yes;platform;;9811794896;B;10;10;10;10
49.4651423;14.0688388;"""Čimelice, nám.""";"""Čimelice, náměstí""";;;yes;platform;;10689846375;B;10;10
49.4648080;14.0686297;"""Čimelice, nám.""";"""Čimelice, náměstí""";;;yes;platform;;10689846374;A;10;10
49.4757271;14.3648605;"""Přeborov, rozc. 0.5""";"""Přeborov, rozcestí 0.5""";;;yes;platform;;10689846331;A;10;10;10;10
49.4757958;14.3650475;"""Přeborov, rozc. 0.5""";"""Přeborov, rozcestí 0.5""";;;yes;platform;;10689846332;B;10;10;10;10
49.5211525;14.0726633;"""Lety, rozc. 1.3 sil. č. 4""";"""Lety, rozcestí 1.3 sil. č. 4""";;;yes;platform;;10689846372;B;10;10
49.5209084;14.0724468;"""Lety, rozc. 1.3 sil. č. 4""";"""Lety, rozcestí 1.3 sil. č. 4""";;;yes;platform;;10689846373;A;10;10
49.5156975;14.0505066;;Horosedly;;;yes;platform;;10689846370;B;10;10;10;10
49.5158081;14.0504026;;Horosedly;;;yes;platform;;10689846371;A;10;10;10;10
49.5121307;14.0309143;"""Mirovice, rozc. k žel. st.""";"""Mirovice, rozcestí k železniční stanici""";;;yes;platform;;4745864056;B;10;10;10;10
49.5119667;14.0309544;"""Mirovice, rozc. k žel. st.""";"""Mirovice, rozcestí k železniční stanici""";;;yes;platform;;4745864057;A;10;10;10;10
